p1_max_prob,p1_mean_prob,p1_min_prob,p2_max_prob,p2_mean_prob,p2_min_prob,p3_max_prob,p3_mean_prob,p3_min_prob,p4_max_prob,p4_mean_prob,p4_min_prob,p5_max_prob,p5_mean_prob,p5_min_prob,p6_max_prob,p6_mean_prob,p6_min_prob
0.5627182126045227,0.5304621577262878,0.41319236159324646,0.5627802014350891,0.5323690503835679,0.4186550974845886,0.5629463195800781,0.5262010395526886,0.3997274339199066,0.563664436340332,0.5278829872608185,0.4001375436782837,0.5879277586936951,0.5540993630886077,0.4767981767654419,0.5637857913970947,0.5330843091011047,0.41469934582710266
0.5301482677459717,0.49290352165699003,0.4601265788078308,0.5404452681541443,0.4962940990924835,0.45888054370880127,0.5190393924713135,0.48543604612350466,0.45863422751426697,0.5543954968452454,0.5022037774324417,0.4592873454093933,0.5383460521697998,0.49613362550735474,0.4598569869995117,0.5268337726593018,0.4897979378700256,0.46011677384376526
0.5820698738098145,0.5427715599536895,0.5042818784713745,0.5820281505584717,0.5436182916164398,0.5056015849113464,0.5820205807685852,0.5442691504955292,0.5071572661399841,0.5821329355239868,0.5538647651672364,0.5313255190849304,0.5819397568702698,0.5425180613994598,0.5002464652061462,0.5820798277854919,0.5470524251461029,0.5106400847434998
0.5220035314559937,0.5147059381008148,0.5056298971176147,0.5253719687461853,0.516122704744339,0.5056086778640747,0.5261988043785095,0.5169240474700928,0.5058894753456116,0.5285234451293945,0.5178815007209778,0.5061082243919373,0.5229932069778442,0.5150198757648468,0.5049821138381958,0.5205986499786377,0.5138726651668548,0.5057238936424255
0.5237080454826355,0.4878158807754517,0.4276161789894104,0.5120381712913513,0.4826651930809021,0.4279196262359619,0.49823644757270813,0.47431483268737795,0.42782703042030334,0.5233465433120728,0.48532024025917053,0.4272643029689789,0.5094966888427734,0.4814230650663376,0.4277132451534271,0.5046911239624023,0.4762257248163223,0.42690324783325195
0.5745367407798767,0.5474567949771881,0.5137309432029724,0.5755873918533325,0.5675804316997528,0.5581626296043396,0.5749432444572449,0.5555018544197082,0.5338714122772217,0.5752777457237244,0.5641170620918274,0.5537834167480469,0.5752714276313782,0.5662518680095673,0.5557098388671875,,,
0.5449095368385315,0.539056396484375,0.5306577682495117,0.5459831953048706,0.543883228302002,0.5410471558570862,0.5468887686729431,0.5452590167522431,0.5427413582801819,0.5451381206512451,0.5413644194602967,0.5368137955665588,0.5462822914123535,0.5428050577640533,0.5364024639129639,,,
0.5315206050872803,0.5227197766304016,0.4971756339073181,0.5445584654808044,0.5337696850299836,0.5227348208427429,0.5360534191131592,0.5296669125556945,0.5194360017776489,0.5475002527236938,0.5348876774311065,0.5227349996566772,0.5321217775344849,0.5240789771080017,0.5016502141952515,,,
0.5213799476623535,0.5169916450977325,0.5067428350448608,0.5320264101028442,0.5217204034328461,0.5170612931251526,0.5369356274604797,0.5238644182682037,0.5187575221061707,0.5290020108222961,0.5206040024757386,0.5154078602790833,0.5218398571014404,0.5171835541725158,0.5110650658607483,,,
0.5388047695159912,0.5326396465301514,0.5261613130569458,0.5410083532333374,0.534660130739212,0.5268693566322327,0.5495753884315491,0.5403286337852478,0.5273904204368591,0.5388535261154175,0.5315020620822907,0.5242168307304382,0.5348321199417114,0.5277680993080139,0.5208520293235779,,,
0.5077094435691833,0.4987888723611832,0.49203163385391235,0.5334048271179199,0.5088576704263688,0.492474228143692,0.5085777044296265,0.5003358811140061,0.49232491850852966,0.5056921243667603,0.49998085498809813,0.49223363399505615,0.5041566491127014,0.4986611008644104,0.4922960102558136,,,
